id,score
001519c8,3.5
0022f953,3.5
0042269b,6.0
0059420b,2.0
0075873a,4.0
0081af50,2.0
0093f095,4.5
009e23ab,4.0
00e048f1,3.5
00e1f05a,4.5
00e713bd,4.5
00f0737e,2.5
00f8e84c,4.5
00fc9a6a,3.5
0144e4d5,2.5
014e7ae9,5.0
015aa732,5.0
0178a105,3.0
0182aa1c,4.0
0190ff4c,4.0
01963e20,4.5
019737b6,3.5
01992d32,4.0
01c359fc,3.5
01d0ba4b,1.5
01d602a7,4.5
0249a095,5.0
0262bf61,4.5
026be946,5.0
0294b4f5,2.5
02a41d1a,3.0
02cf6a52,3.5
02d3c9fc,4.0
02e86b6a,4.0
031c0c58,4.0
034d61db,4.5
035f09fc,3.5
036cfd42,4.5
0395b217,5.5
03971ddf,4.5
040c429b,5.0
0417d421,3.0
0432f117,4.0
0445b534,3.5
044b274d,6.0
044c5c54,1.0
048fd254,4.0
04b88b3e,4.0
04c5f885,3.0
04e37b6b,3.0
04e63aec,4.0
04f83ccb,5.0
052a7811,3.5
052b25e1,5.0
052cf3a6,2.5
053be4e5,3.0
05624ab0,3.5
056c41fc,2.5
05b35fa0,3.5
05f425a4,3.5
05f8ca37,3.0
06336d82,6.0
064a82e9,4.5
0657fcde,4.5
0666fb4e,4.5
069d668b,4.0
06cba5d7,3.5
06e59db8,6.0
06f33221,4.5
073b3535,4.0
075f92a5,4.5
077ee03e,4.0
078a6196,4.5
07bb2245,3.5
07bb7765,3.5
07c36ae1,3.5
07e41499,3.5
07f3409c,4.5
081d84f4,4.0
08276ea7,3.0
08288a1f,4.0
08390d49,4.0
088efb89,4.0
08dbdc95,5.5
08e3c7ae,1.0
08e82426,4.5
08eb331a,2.5
08ed1a7f,4.0
08f461ac,5.0
08f9b53a,5.0
0916cdad,3.5
09429577,4.0
0949205b,3.0
098c4b58,4.0
098f7878,5.0
09a67581,4.5
09bf7971,5.0
09ea6d33,2.0
09eb3ce5,3.0
0a1be27b,2.5
0a21bbd6,4.5
0a248634,4.5
0a31d60e,5.0
0a4e3aec,3.5
0a4eae7a,1.5
0a59a757,4.5
0a98043e,4.0
0ad15907,3.5
0ad30c56,4.5
0b7d9563,2.5
0bcf7a38,4.0
0bdda3d0,4.0
0be614b2,5.0
0c0f5e03,3.0
0c13191d,3.0
0c3c0e97,3.0
0c63312a,4.0
0c683abf,4.0
0c6ae36d,2.0
0c6dc776,4.5
0c81d872,3.0
0c97760e,4.5
0ca05fe3,1.5
0cb03a4b,3.0
0cbb4d8a,4.5
0cdbef4c,4.0
0cdd67f7,4.0
0cf8f260,3.0
0d0f5c6a,4.5
0d341ad9,2.5
0d71be2a,4.5
0d9a48c8,5.0
0d9d8d5c,3.0
0e1ed32d,4.0
0e45ff80,2.5
0e47a081,4.0
0e6b2690,3.0
0e7d541e,4.0
0e8c5c2d,5.5
0e8ff5f0,5.0
0e92a174,4.0
0e92f6e6,4.5
0e94f89a,4.0
0eb6deb6,1.5
0ef51d77,5.5
0efdfcb9,4.5
0f2b0127,3.5
0f2d2bc2,4.5
0f53e40a,5.5
0f825609,3.0
0f99d42f,5.0
0fa3f386,4.5
10001c3f,5.5
1031137e,5.5
104e2177,3.5
10894203,4.0
10967045,3.5
10986aaa,3.5
10989e65,4.5
10a8ffbc,1.5
10d00394,4.5
10eafbce,4.0
1102ab6c,4.5
110982e4,3.5
11612565,2.0
1165aac7,2.5
118107cc,3.0
1183579c,3.5
11938f53,3.0
11c44718,3.5
1201aaf5,3.5
121b7be1,3.5
12251b80,3.5
12552ba4,4.5
1255ca43,3.5
128d8837,4.0
12a1c58e,4.0
12a29027,4.5
12b11af1,3.5
12c0c19b,4.0
12d2369f,4.0
12e6279b,3.5
12ed90ad,4.0
12f19edb,4.5
12f9bae8,5.5
131a4f5b,1.5
1343a4d2,6.0
1352b297,3.0
1372a95e,4.5
13959265,2.5
139b1633,3.5
13b35572,3.0
13b958a3,4.5
13c12172,2.5
13c8090f,3.0
13e5d669,5.5
13e5fbb5,4.0
14198179,2.5
142ae1e2,4.0
142d6035,4.5
143c8cd1,5.0
143daf03,3.5
14416b1b,2.5
1454c1e7,4.0
14623dee,4.0
1465ed8a,3.0
147f29a6,1.5
148d6ad2,3.5
14a7ef5a,3.0
14ab2307,3.5
14c585a2,5.0
14dcd6c9,2.5
14f96944,4.5
14fee75a,3.5
153aafba,3.5
156afd16,2.0
157ebf8a,3.5
159f332d,4.0
159f6c4b,4.5
15d93e45,3.5
15dde81f,3.0
165315ef,4.0
16542171,4.5
1677c88a,3.5
1686e65a,4.5
1698ffb9,4.0
16c2ea01,4.0
16e8b11f,5.5
1772af76,4.5
177c0f32,3.5
17b23156,4.0
17d3226a,3.5
17dd8cb3,2.0
1811b3dd,1.5
183fdf47,4.5
1849b0dd,5.5
18546086,5.0
186c795b,4.0
1894b127,4.0
18cb3b82,3.5
1908a463,4.5
19312bdb,4.0
